experience,education,skill,interview,gender,age_group,race,hire
5,2,84.47,62.78,1,1,0,1
4,1,84.83,69.58,0,0,1,1
4,1,73.58,99.25,1,0,0,1
5,1,87.48,65.8,0,1,1,1
5,1,81.9,89.39,1,0,1,1
3,1,68.99,73.46,0,1,0,1
5,1,80.63,62.37,0,0,0,1
4,1,68.65,100.0,1,1,0,1
6,0,74.39,77.21,1,0,0,0
7,2,73.27,79.17,1,1,0,1
2,1,68.32,80.08,0,0,1,0
5,0,80.0,81.48,0,0,0,1
5,2,87.67,100.0,0,1,0,1
6,2,88.21,99.07,1,0,0,1
4,2,80.87,65.0,1,1,0,0
6,2,83.6,100.0,1,0,0,1
6,2,69.33,65.46,0,0,1,1
1,0,59.94,75.85,1,0,1,1
7,2,85.83,59.75,0,0,0,1
2,2,62.76,84.99,0,1,0,0
11,0,64.48,69.21,0,0,0,0
4,0,79.29,62.06,0,0,0,0
3,2,76.51,89.56,0,1,0,1
8,0,78.1,92.85,0,0,0,0
3,2,81.56,93.95,0,1,0,1
3,0,56.18,52.96,0,0,0,1
5,0,65.97,92.08,0,1,0,0
8,1,96.04,75.6,0,0,0,1
3,0,61.11,96.84,0,1,0,1
2,1,66.34,80.77,1,0,0,1
5,1,68.31,76.68,1,0,0,1
3,0,58.59,71.82,0,0,0,1
8,0,87.05,77.25,1,0,1,1
10,0,55.23,62.89,1,0,0,0
3,0,61.43,59.47,0,1,0,0
2,1,71.25,69.9,0,0,1,0
5,1,91.97,92.68,1,1,0,1
7,0,62.65,55.77,1,1,0,0
6,1,63.94,88.88,1,0,0,0
6,0,63.4,74.4,1,0,0,1
2,0,71.02,83.58,0,0,0,1
4,0,69.25,83.85,0,1,0,1
9,2,73.57,85.85,0,0,0,1
7,2,85.0,77.27,0,0,0,1
11,2,100.0,80.63,0,0,1,1
8,0,78.64,86.46,0,0,0,1
3,0,67.65,61.03,0,1,0,1
2,1,71.25,59.92,0,0,0,1
3,1,75.15,69.45,0,0,1,0
4,2,65.33,76.52,0,1,1,0
5,0,67.68,96.59,0,0,0,1
5,0,68.2,74.22,0,1,0,1
4,1,68.17,97.63,1,0,0,1
3,2,82.86,82.76,1,1,0,1
8,2,79.66,70.49,0,1,0,1
2,1,65.4,86.84,0,1,0,0
1,2,59.4,68.97,1,0,1,1
4,1,76.78,78.37,0,0,0,0
5,2,89.42,61.85,1,1,0,0
4,2,74.39,56.77,0,0,0,1
3,2,84.07,83.46,1,0,0,1
4,0,66.53,86.55,1,0,0,1
8,0,50.73,93.49,1,1,0,1
2,1,68.48,63.98,0,1,1,1
2,1,67.24,91.01,1,0,0,0
2,2,75.03,90.78,1,0,1,0
7,0,76.53,69.41,1,0,0,0
6,0,65.16,89.69,0,0,0,1
7,1,93.71,90.07,1,1,0,1
6,0,71.34,87.97,0,0,0,1
7,0,72.0,100.0,0,0,0,1
6,0,79.45,89.1,1,0,0,1
4,1,73.19,48.99,0,1,0,0
2,0,89.66,81.8,1,0,1,1
3,2,73.9,55.98,1,0,0,0
4,1,76.52,77.12,0,0,0,0
7,2,76.51,76.43,1,0,0,1
4,1,81.71,69.34,1,1,0,0
3,0,69.09,61.49,0,0,0,1
2,0,60.61,65.76,1,1,1,1
6,0,63.28,68.61,0,0,0,0
3,1,57.91,70.0,0,0,0,1
5,0,74.19,76.1,0,1,0,0
9,0,64.13,79.85,0,1,0,1
6,1,90.08,74.27,0,0,1,0
6,0,59.37,87.23,1,1,0,0
9,0,76.22,74.78,1,0,0,1
4,1,64.18,83.93,0,1,0,1
9,2,88.33,74.01,0,0,0,1
2,0,64.27,100.0,0,0,0,1
